County,County No State,Origin,Origin (2014-18 US),Origin (tooltip),State,County % by Origin,County N Imm,Number of Records,Round County N Imm,Round Total Imm Pop,Total Imm Pop,Total US Pop
"Alachua County, Florida",Alachua County,Afghanistan,Afghanistan,Afghanistan,Florida,0,0,1,,118500,118496,329725481
"Alachua County, Florida",Alachua County,Africa,Africa,Africa,Florida,0.000464982,1152,1,1200,2477500,2477515,329725481
"Alachua County, Florida",Alachua County,Albania,Albania,Albania,Florida,0.001134615,115,1,,101400,101356,329725481
"Alachua County, Florida",Alachua County,Americas,Americas,Americas,Florida,0.000514277,11964,1,12000,23263700,23263733,329725481
"Alachua County, Florida",Alachua County,Argentina,Argentina,Argentina,Florida,0.001219258,240,1,,196800,196841,329725481
"Alachua County, Florida",Alachua County,Armenia,Armenia,Armenia,Florida,0,0,1,,95100,95130,329725481
"Alachua County, Florida",Alachua County,Asia,Asia,Asia,Florida,0.000888073,12406,1,12400,13969600,13969568,329725481
"Alachua County, Florida",Alachua County,Australia,Australia,Australia,Florida,0.000223996,22,1,,98200,98216,329725481
"Alachua County, Florida",Alachua County,Australia and New Zealand Subregion,Australia and New Zealand Subregion,Australia and New Zealand Subregion,Florida,0.000347716,45,1,,129400,129416,329725481
"Alachua County, Florida",Alachua County,Austria,Austria,Austria,Florida,0.000296699,12,1,,40400,40445,329725481
"Alachua County, Florida",Alachua County,Bahamas,Bahamas,Bahamas,Florida,0.00154396,54,1,,35000,34975,329725481
"Alachua County, Florida",Alachua County,Bangladesh,Bangladesh,Bangladesh,Florida,0.00085132,221,1,,259600,259597,329725481
"Alachua County, Florida",Alachua County,Barbados,Barbados,Barbados,Florida,0,0,1,,53900,53861,329725481
"Alachua County, Florida",Alachua County,Belarus,Belarus,Belarus,Florida,0.000384928,27,1,,70100,70143,329725481
"Alachua County, Florida",Alachua County,Belgium,Belgium,Belgium,Florida,0.000913842,32,1,,35000,35017,329725481
"Alachua County, Florida",Alachua County,Belize,Belize,Belize,Florida,0.000241652,11,1,,45500,45520,329725481
"Alachua County, Florida",Alachua County,Bolivia,Bolivia,Bolivia,Florida,0.000659831,52,1,,78800,78808,329725481
"Alachua County, Florida",Alachua County,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Florida,0.000121079,13,1,,107400,107368,329725481
"Alachua County, Florida",Alachua County,Brazil,Brazil,Brazil,Florida,0.002627814,1352,1,1400,514500,514496,329725481
"Alachua County, Florida",Alachua County,Bulgaria,Bulgaria,Bulgaria,Florida,0.000876235,65,1,,74200,74181,329725481
"Alachua County, Florida",Alachua County,Cabo Verde,Cabo Verde,Cabo Verde,Florida,0,0,1,,42900,42925,329725481
"Alachua County, Florida",Alachua County,Cambodia,Cambodia,Cambodia,Florida,0.000215649,32,1,,148400,148389,329725481
"Alachua County, Florida",Alachua County,Cameroon,Cameroon,Cameroon,Florida,0.000367083,28,1,,76300,76277,329725481
"Alachua County, Florida",Alachua County,Canada,Canada,Canada,Florida,0.001328586,1088,1,1100,818900,818916,329725481
"Alachua County, Florida",Alachua County,Caribbean,Caribbean,Caribbean,Florida,0.00090904,4093,1,4100,4502600,4502553,329725481
"Alachua County, Florida",Alachua County,Central America,Central America,Central America,Florida,0.000165794,2396,1,2400,14451700,14451651,329725481
"Alachua County, Florida",Alachua County,"Central America, excluding Mexico","Central America, excluding Mexico","Central America, excl. Mexico",Florida,0.000391793,1411,1,1400,3601400,3601391,329725481
"Alachua County, Florida",Alachua County,Chile,Chile,Chile,Florida,0.000124535,13,1,,104400,104388,329725481
"Alachua County, Florida",Alachua County,China,China,China,Florida,0.001069821,3012,1,3000,2815400,2815423,329725481
"Alachua County, Florida",Alachua County,"China, excluding Hong Kong and Taiwan","China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",Florida,0.001242385,2730,1,2700,2197400,2197387,329725481
"Alachua County, Florida",Alachua County,"China, excluding Taiwan","China, excluding Taiwan","China, excl. Taiwan",Florida,0.001152783,2810,1,2800,2437600,2437579,329725481
"Alachua County, Florida",Alachua County,Colombia,Colombia,Colombia,Florida,0.00120688,1006,1,1000,833600,833554,329725481
"Alachua County, Florida",Alachua County,Congo,Congo,Congo,Florida,0.000124502,4,1,,32100,32128,329725481
"Alachua County, Florida",Alachua County,Costa Rica,Costa Rica,Costa Rica,Florida,0.000808458,77,1,,95200,95243,329725481
"Alachua County, Florida",Alachua County,Croatia,Croatia,Croatia,Florida,0,0,1,,38500,38451,329725481
"Alachua County, Florida",Alachua County,Cuba,Cuba,Cuba,Florida,0.001366133,1794,1,1800,1313200,1313196,329725481
"Alachua County, Florida",Alachua County,Czechoslovakia (includes Czech Republic and Slovakia),Czechoslovakia (includes Czech Republic and Slovakia),Czechoslovakia (incl. Czech Republic & Slovakia),Florida,0.001316566,87,1,,66100,66081,329725481
"Alachua County, Florida",Alachua County,Democratic Republic of Congo (Zaire),Democratic Republic of Congo (Zaire),Democratic Republic of Congo (Zaire),Florida,0,0,1,,55700,55728,329725481
"Alachua County, Florida",Alachua County,Denmark,Denmark,Denmark,Florida,0,0,1,,28800,28796,329725481
"Alachua County, Florida",Alachua County,Dominica,Dominica,Dominica,Florida,0.000440012,15,1,,34100,34090,329725481
"Alachua County, Florida",Alachua County,Dominican Republic,Dominican Republic,Dominican Republic,Florida,0.000109062,131,1,,1201200,1201155,329725481
"Alachua County, Florida",Alachua County,Eastern Africa,Eastern Africa,Eastern Africa,Florida,0.000347475,252,1,,725200,725232,329725481
"Alachua County, Florida",Alachua County,Eastern Asia,Eastern Asia,Eastern Asia,Florida,0.001092532,4603,1,4600,4213200,4213150,329725481
"Alachua County, Florida",Alachua County,Eastern Europe,Eastern Europe,Eastern Europe,Florida,0.000665873,1470,1,1500,2207600,2207629,329725481
"Alachua County, Florida",Alachua County,Ecuador,Ecuador,Ecuador,Florida,0.000372132,172,1,,462200,462202,329725481
"Alachua County, Florida",Alachua County,Egypt,Egypt,Egypt,Florida,0.001080441,230,1,,212900,212876,329725481
"Alachua County, Florida",Alachua County,El Salvador,El Salvador,El Salvador,Florida,0.000181954,254,1,,1396000,1395958,329725481
"Alachua County, Florida",Alachua County,Eritrea,Eritrea,Eritrea,Florida,0,0,1,,50600,50569,329725481
"Alachua County, Florida",Alachua County,Ethiopia,Ethiopia,Ethiopia,Florida,0.000536708,143,1,,266400,266439,329725481
"Alachua County, Florida",Alachua County,Europe,Europe,Europe,Florida,0.00078978,3826,1,3800,4844400,4844388,329725481
"Alachua County, Florida",Alachua County,Fiji,Fiji,Fiji,Florida,0.000129943,6,1,,46200,46174,329725481
"Alachua County, Florida",Alachua County,France,France,France,Florida,0.001374042,254,1,,184900,184856,329725481
"Alachua County, Florida",Alachua County,Germany,Germany,Germany,Florida,0.000987278,537,1,,543900,543920,329725481
"Alachua County, Florida",Alachua County,Ghana,Ghana,Ghana,Florida,0.000100974,19,1,,188200,188168,329725481
"Alachua County, Florida",Alachua County,Greece,Greece,Greece,Florida,0.00015583,19,1,,121900,121928,329725481
"Alachua County, Florida",Alachua County,Grenada,Grenada,Grenada,Florida,0,0,1,,36200,36182,329725481
"Alachua County, Florida",Alachua County,Guatemala,Guatemala,Guatemala,Florida,0.000362225,368,1,,1015900,1015942,329725481
"Alachua County, Florida",Alachua County,Guyana,Guyana,Guyana,Florida,0.000438,123,1,,280800,280822,329725481
"Alachua County, Florida",Alachua County,Haiti,Haiti,Haiti,Florida,0.000932629,635,1,,680900,680871,329725481
"Alachua County, Florida",Alachua County,Honduras,Honduras,Honduras,Florida,0.000603799,413,1,,684000,684003,329725481
"Alachua County, Florida",Alachua County,Hong Kong,Hong Kong,Hong Kong,Florida,0.000333067,80,1,,240200,240192,329725481
"Alachua County, Florida",Alachua County,Hungary,Hungary,Hungary,Florida,0.000243969,16,1,,65600,65582,329725481
"Alachua County, Florida",Alachua County,India,India,India,Florida,0.00106631,2859,1,2900,2681200,2681209,329725481
"Alachua County, Florida",Alachua County,Indonesia,Indonesia,Indonesia,Florida,0.001798194,176,1,,97900,97876,329725481
"Alachua County, Florida",Alachua County,Iran,Iran,Iran,Florida,0.001441823,565,1,,391900,391865,329725481
"Alachua County, Florida",Alachua County,Iraq,Iraq,Iraq,Florida,0.000153119,36,1,,235100,235111,329725481
"Alachua County, Florida",Alachua County,Ireland,Ireland,Ireland,Florida,0.00141565,172,1,,121500,121499,329725481
"Alachua County, Florida",Alachua County,Israel,Israel,Israel,Florida,0.001664781,234,1,,140600,140559,329725481
"Alachua County, Florida",Alachua County,Italy,Italy,Italy,Florida,0.000279943,90,1,,321500,321494,329725481
"Alachua County, Florida",Alachua County,Jamaica,Jamaica,Jamaica,Florida,0.001110625,873,1,,786000,786044,329725481
"Alachua County, Florida",Alachua County,Japan,Japan,Japan,Florida,0.000694585,240,1,,345500,345530,329725481
"Alachua County, Florida",Alachua County,Jordan,Jordan,Jordan,Florida,0.000630625,55,1,,87200,87215,329725481
"Alachua County, Florida",Alachua County,Kazakhstan,Kazakhstan,Kazakhstan,Florida,0.000589657,20,1,,33900,33918,329725481
"Alachua County, Florida",Alachua County,Kenya,Kenya,Kenya,Florida,0.000510184,77,1,,150900,150926,329725481
"Alachua County, Florida",Alachua County,Korea,Korea,Korea,Florida,0.00130496,1351,1,1400,1035300,1035281,329725481
"Alachua County, Florida",Alachua County,Kuwait,Kuwait,Kuwait,Florida,0.001603802,54,1,,33700,33670,329725481
"Alachua County, Florida",Alachua County,Laos,Laos,Laos,Florida,0.000196414,35,1,,178200,178195,329725481
"Alachua County, Florida",Alachua County,Latin America,Latin America,Latin America,Florida,0.00048392,10857,1,10900,22435500,22435537,329725481
"Alachua County, Florida",Alachua County,Latvia,Latvia,Latvia,Florida,0.000303424,7,1,,23100,23070,329725481
"Alachua County, Florida",Alachua County,Lebanon,Lebanon,Lebanon,Florida,0.000120736,16,1,,132500,132520,329725481
"Alachua County, Florida",Alachua County,Liberia,Liberia,Liberia,Florida,0,0,1,,95300,95254,329725481
"Alachua County, Florida",Alachua County,Lithuania,Lithuania,Lithuania,Florida,0.001494812,51,1,,34100,34118,329725481
"Alachua County, Florida",Alachua County,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,Florida,0.000563491,693,1,,1229800,1229834,329725481
"Alachua County, Florida",Alachua County,Macedonia,Macedonia,Macedonia,Florida,0,0,1,,27700,27747,329725481
"Alachua County, Florida",Alachua County,Malaysia,Malaysia,Malaysia,Florida,0.00016016,13,1,,81200,81169,329725481
"Alachua County, Florida",Alachua County,Mexico,Mexico,Mexico,Florida,9.08E-05,985,1,,10850300,10850260,329725481
"Alachua County, Florida",Alachua County,Micronesia,Micronesia,Micronesia,Florida,0,0,1,,30900,30920,329725481
"Alachua County, Florida",Alachua County,Middle Africa,Middle Africa,Middle Africa,Florida,0.000174116,32,1,,183800,183786,329725481
"Alachua County, Florida",Alachua County,Moldova,Moldova,Moldova,Florida,0,0,1,,52100,52107,329725481
"Alachua County, Florida",Alachua County,Morocco,Morocco,Morocco,Florida,0.000329052,29,1,,88100,88132,329725481
"Alachua County, Florida",Alachua County,Myanmar (Burma),Myanmar (Burma),Myanmar (Burma),Florida,0,0,1,,156000,155955,329725481
"Alachua County, Florida",Alachua County,Nepal,Nepal,Nepal,Florida,0.000370281,57,1,,153900,153937,329725481
"Alachua County, Florida",Alachua County,Netherlands,Netherlands,Netherlands,Florida,0.00178461,150,1,,84100,84052,329725481
"Alachua County, Florida",Alachua County,Nicaragua,Nicaragua,Nicaragua,Florida,0.001063924,264,1,,248100,248138,329725481
"Alachua County, Florida",Alachua County,Nigeria,Nigeria,Nigeria,Florida,0.000330283,131,1,,396600,396630,329725481
"Alachua County, Florida",Alachua County,Northern Africa,Northern Africa,Northern Africa,Florida,0.000663798,271,1,,408300,408257,329725481
"Alachua County, Florida",Alachua County,Northern America,Northern America,Northern America,Florida,0.00133664,1107,1,1100,828200,828196,329725481
"Alachua County, Florida",Alachua County,Northern Europe,Northern Europe,Northern Europe,Florida,0.000990749,946,1,,954800,954833,329725481
